Age,Income,CreditScore,PreviousPurchases,Purchased
22,25000,580,0,0
25,30000,600,1,0
27,32000,610,1,0
29,35000,630,2,0
31,40000,650,2,0
33,42000,670,3,1
35,45000,680,3,1
37,47000,690,4,1
39,50000,700,4,1
41,52000,710,5,1
24,28000,590,0,0
26,31000,610,1,0
28,34000,620,2,0
30,36000,640,2,0
32,39000,650,3,1
34,43000,660,3,1
36,46000,680,4,1
38,49000,690,4,1
40,51000,700,5,1
42,54000,720,5,1
23,26000,585,0,0
27,33000,615,1,0
29,35500,635,2,0
31,41000,655,3,1
33,44000,665,3,1
35,47000,675,4,1
37,50000,690,4,1
39,53000,705,5,1
41,56000,720,5,1
43,60000,740,6,1
21,24000,570,0,0
24,27000,590,0,0
26,30000,605,1,0
28,34000,620,2,0
30,37000,645,2,0
32,40000,660,3,1
34,44000,675,3,1
36,47000,685,4,1
38,51000,700,4,1
40,55000,715,5,1
22,25500,575,0,0
25,29500,600,1,0
27,33500,615,1,0
29,36500,635,2,0
31,39500,650,3,1
33,42500,665,3,1
35,45500,680,4,1
37,48500,695,4,1
39,52000,710,5,1
42,58000,735,6,1
